BuildingType,YearBuilt,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions
SPS-District K-12,1961,2,56228,K-12 School,95.0,1539478.5,38.53
NonResidential,2001,6,58006,Hotel,84.0,3663534.5,90.01
NonResidential,1978,5,52210,Hotel,57.0,4456714.5,128.44
SPS-District K-12,1990,2,54986,K-12 School,97.0,1650279.25,31.47
NonResidential,1961,2,94900,Office,57.0,6186461.5,130.56
NonResidential,1900,2,52554,Office,83.0,2951331.25,83.86
NonResidential,1910,8,59400,Office,14.0,5071974.0,35.36
NonResidential,1985,7,71150,Hotel,98.0,5348309.0,134.38
NonResidential,1962,2,54984,Office,71.0,3375211.0,87.98
NonResidential,2008,6,63371,Hotel,74.0,3706100.25,67.06
NonResidential,1929,2,58320,Retail Store,96.0,1049748.625,39.06
NonResidential,1970,4,50283,Office,68.0,3476212.5,48.76
NonResidential,1923,3,67743,K-12 School,34.0,2646879.0,78.85
NonResidential,2003,3,63681,Office,63.0,4897760.0,34.14
SPS-District K-12,1989,3,59955,K-12 School,93.0,1633399.375,20.48
SPS-District K-12,1964,2,93218,K-12 School,86.0,2887392.0,84.75
NonResidential,2001,4,51390,Hotel,89.0,3611538.0,127.29
SPS-District K-12,1963,2,131013,K-12 School,88.0,3894584.5,124.92
NonResidential,2002,3,69138,Hotel,78.0,3242458.0,89.02
SPS-District K-12,1991,2,55513,K-12 School,93.0,1513570.75,10.55
SPS-District K-12,2001,3,78804,K-12 School,92.0,2499140.0,56.82
SPS-District K-12,2002,3,66994,K-12 School,79.0,2371304.5,41.74
SPS-District K-12,2000,3,98357,K-12 School,88.0,3456131.5,94.64
NonResidential,2001,4,102100,Residence Hall/Dormitory,89.0,4448582.5,129.39
SPS-District K-12,2002,3,62526,K-12 School,96.0,1986094.875,54.07
NonResidential,2007,3,64015,Office,21.0,3242077.75,49.58
NonResidential,1996,3,55442,Financial Office,72.0,3191228.25,83.7
NonResidential,1904,4,114297,Non-Refrigerated Warehouse,61.0,2100097.75,69.44
NonResidential,1966,1,64984,Retail Store,72.0,2944296.25,35.78
SPS-District K-12,1958,1,46797,K-12 School,86.0,2075891.0,73.47
SPS-District K-12,2004,2,67371,K-12 School,92.0,2128459.0,46.36
SPS-District K-12,2010,3,127776,K-12 School,75.0,4748137.0,80.08
SPS-District K-12,1999,2,67235,K-12 School,89.0,2284133.75,49.12
SPS-District K-12,1991,3,58118,K-12 School,97.0,1407277.25,21.29
NonResidential,1900,3,44558,Office,78.0,1677002.25,28.27
SPS-District K-12,1999,1,71714,K-12 School,87.0,2371358.0,36.24
NonResidential,1991,3,67236,Non-Refrigerated Warehouse,91.0,549181.375,9.63
NonResidential,1928,2,55653,K-12 School,98.0,1377627.0,72.88
NonResidential,1972,5,50759,Office,62.0,3147042.0,49.09
NonResidential,1952,2,56772,Worship Facility,46.0,2439484.75,84.57
SPS-District K-12,2001,3,75174,K-12 School,77.0,2733846.0,71.86
SPS-District K-12,2003,3,75214,K-12 School,88.0,2334260.0,43.98
SPS-District K-12,2005,3,134918,K-12 School,91.0,3822102.5,69.42
SPS-District K-12,1991,2,64414,K-12 School,67.0,2295176.5,16.0
NonResidential,1914,4,56500,Office,98.0,1380293.625,44.22
NonResidential,1981,4,59158,Office,57.0,5007401.0,68.19
NonResidential,1916,5,73399,Office,61.0,3757006.0,26.19
NonResidential,1900,7,89550,Office,85.0,3903259.75,51.67
NonResidential,1900,6,89355,Office,66.0,4178233.5,31.97
NonResidential,1968,8,94948,Office,81.0,3743228.5,26.1
NonResidential,1909,7,106099,Office,99.0,2746560.75,70.17
NonResidential,1978,2,89200,Retail Store,83.0,6461937.0,89.47
NonResidential,2002,6,90803,Office,88.0,4426136.0,30.86
NonResidential,2002,5,137929,Office,93.0,7046345.5,49.12
NonResidential,1900,5,50176,Office,77.0,2933288.75,24.91
NonResidential,1977,1,128800,Non-Refrigerated Warehouse,97.0,1809101.5,78.92
NonResidential,1960,1,52311,Non-Refrigerated Warehouse,96.0,930611.875,48.65
NonResidential,2001,5,106465,Office,60.0,5803409.0,40.46
NonResidential,1973,1,52500,Non-Refrigerated Warehouse,2.0,3989399.0,70.47
NonResidential,1914,4,79957,Retail Store,25.0,5252131.0,36.61
NonResidential,1984,6,96630,Office,45.0,7335905.5,51.14
NonResidential,1906,4,63540,Office,72.0,3518459.5,74.83
NonResidential,1999,4,70000,Office,72.0,4549892.0,31.72
NonResidential,1925,4,52800,Office,83.0,2429021.0,44.48
NonResidential,2001,1,123061,Non-Refrigerated Warehouse,59.0,1987934.625,13.86
NonResidential,1963,1,59090,Distribution Center,45.0,2756214.75,117.11
NonResidential,1963,1,106000,Non-Refrigerated Warehouse,93.0,763364.5,5.32
NonResidential,1960,1,119661,Distribution Center,97.0,775729.1875,5.44
NonResidential,2001,7,94472,Office,81.0,4342597.0,30.27
NonResidential,1984,6,61800,Office,95.0,3063504.5,21.36
NonResidential,1974,5,74880,Office,56.0,5134607.5,35.8
NonResidential,1979,6,88774,Office,53.0,6029121.5,42.03
NonResidential,1983,5,122250,Office,93.0,5535626.0,38.59
NonResidential,1979,4,53730,Office,20.0,4742869.0,33.06
NonResidential,1960,3,55593,Office,55.0,4224872.5,93.23
NonResidential,1982,4,73096,Office,54.0,4695139.0,32.73
NonResidential,1985,4,58195,Office,81.0,2991674.75,20.86
NonResidential,2009,5,118248,Office,95.0,5671256.0,40.47
NonResidential,2004,6,86700,Office,96.0,3238216.0,22.57
NonResidential,1914,5,127800,Non-Refrigerated Warehouse,56.0,2767491.0,29.53
NonResidential,2006,4,136143,Office,97.0,6917478.5,122.68
NonResidential,1954,3,67380,Non-Refrigerated Warehouse,66.0,2755829.0,74.1
NonResidential,1974,5,67236,Office,80.0,3415561.25,23.81
NonResidential,1972,5,66762,Office,69.0,3632613.75,25.32
NonResidential,1970,5,66762,Office,86.0,3493093.75,24.35
