NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,Energy_per_m2,GHG_per_m2,Carbon_intensity_ratio,Age_x_Size
2,56228,K-12 School,95.0,1539478.5,38.53,55,27.379214981859572,0.0006852457850181405,2.5027955895454208e-05,3092540
6,58006,Hotel,84.0,3663534.5,90.01,15,63.157854359893804,0.00155173602730752,2.4569169472813754e-05,870090
5,52210,Hotel,57.0,4456714.5,128.44,38,85.3613196705612,0.00246006512162421,2.8819436380768837e-05,1983980
2,54986,K-12 School,97.0,1650279.25,31.47,26,30.01271687338595,0.000572327501545848,1.9069499904334372e-05,1429636
2,94900,Office,57.0,6186461.5,130.56,55,65.18926765015806,0.001375763962065332,2.1104148146723292e-05,5219500
2,52554,Office,83.0,2951331.25,83.86,116,56.15807074628002,0.0015956920500818205,2.8414296090958954e-05,6096264
8,59400,Office,14.0,5071974.0,35.36,106,85.38676767676768,0.0005952861952861953,6.9716445707332095e-06,6296400
7,71150,Hotel,98.0,5348309.0,134.38,31,75.16948699929726,0.0018886858749121575,2.5125698608663036e-05,2205650
2,54984,Office,71.0,3375211.0,87.98,54,61.38533027789902,0.0016001018478102721,2.6066518508028093e-05,2969136
6,63371,Hotel,74.0,3706100.25,67.06,8,58.48259061715927,0.001058212747155639,1.80944916425291e-05,506968
2,58320,Retail Store,96.0,1049748.625,39.06,87,17.99980495541838,0.0006697530864197531,3.720890798975803e-05,5073840
4,50283,Office,68.0,3476212.5,48.76,46,69.13295746077203,0.0009697114332875922,1.4026760446894429e-05,2313018
3,67743,K-12 School,34.0,2646879.0,78.85,93,39.072361720030116,0.001163957899709195,2.9789801498292895e-05,6300099
3,63681,Office,63.0,4897760.0,34.14,13,76.91085253058212,0.0005361096716446035,6.970533468361046e-06,827853
3,59955,K-12 School,93.0,1633399.375,20.48,27,27.243755733466767,0.0003415895254774414,1.2538268541947986e-05,1618785
2,93218,K-12 School,86.0,2887392.0,84.75,52,30.974618635885772,0.0009091591752665794,2.935174718223227e-05,4847336
4,51390,Hotel,89.0,3611538.0,127.29,15,70.27705779334501,0.002476941039112668,3.524537191634146e-05,770850
2,131013,K-12 School,88.0,3894584.5,124.92,53,29.726702693625825,0.0009534931648004397,3.207530867541839e-05,6943689
3,69138,Hotel,78.0,3242458.0,89.02,14,46.89834823107408,0.0012875697879603113,2.7454480520642053e-05,967932
2,55513,K-12 School,93.0,1513570.75,10.55,25,27.265158611496407,0.00019004557491038136,6.9702721197539e-06,1387825
3,78804,K-12 School,92.0,2499140.0,56.82,15,31.713364803817065,0.000721029389371098,2.273582112246613e-05,1182060
3,66994,K-12 School,79.0,2371304.5,41.74,14,35.39577424844016,0.0006230408693315819,1.760212574977191e-05,937916
3,98357,K-12 School,88.0,3456131.5,94.64,16,35.13864290289456,0.0009622090954380471,2.7383217334178403e-05,1573712
4,102100,Residence Hall/Dormitory,89.0,4448582.5,129.39,15,43.5708374142997,0.0012672869735553378,2.9085669423911994e-05,1531500
3,62526,K-12 School,96.0,1986094.875,54.07,14,31.764304049515403,0.0008647602597319516,2.7224278497773175e-05,875364
3,64015,Office,21.0,3242077.75,49.58,9,50.645594782472855,0.0007745059751620714,1.5292662244142664e-05,576135
3,55442,Financial Office,72.0,3191228.25,83.7,20,57.55976065077017,0.0015096857977706431,2.622814585575319e-05,1108840
4,114297,Non-Refrigerated Warehouse,61.0,2100097.75,69.44,112,18.374040875963498,0.0006075400054244643,3.306512756370507e-05,12801264
1,64984,Retail Store,72.0,2944296.25,35.78,50,45.308018127539086,0.0005505970700480119,1.2152309741249713e-05,3249200
1,46797,K-12 School,86.0,2075891.0,73.47,58,44.35948885612326,0.0015699724341303929,3.539203166254876e-05,2714226
2,67371,K-12 School,92.0,2128459.0,46.36,12,31.593103857742946,0.0006881299075269775,2.178101621877612e-05,808452
3,127776,K-12 School,75.0,4748137.0,80.08,6,37.159850050087655,0.0006267217630853995,1.6865562219455756e-05,766656
2,67235,K-12 School,89.0,2284133.75,49.12,17,33.97239161151186,0.0007305718747676061,2.1504870281786255e-05,1142995
