NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,BuildingAge,Energy_per_m2,Carbon_intensity_ratio,Age_x_Size,ENERGY_vs_type_mean
2,56228,95.0,55,27.379214981859572,2.5027955895454208e-05,3092540,1996164.7493421054
6,58006,84.0,15,63.157854359893804,2.4569169472813754e-05,870090,3010660.921875
5,52210,57.0,38,85.3613196705612,2.8819436380768837e-05,1983980,3010660.921875
2,54986,97.0,26,30.01271687338595,1.9069499904334372e-05,1429636,1996164.7493421054
2,94900,57.0,55,65.18926765015806,2.1104148146723292e-05,5219500,2628999.7780914395
2,52554,83.0,116,56.15807074628002,2.8414296090958954e-05,6096264,2628999.7780914395
8,59400,14.0,106,85.38676767676768,6.9716445707332095e-06,6296400,2628999.7780914395
7,71150,98.0,31,75.16948699929726,2.5125698608663036e-05,2205650,3010660.921875
2,54984,71.0,54,61.38533027789902,2.6066518508028093e-05,2969136,2628999.7780914395
6,63371,74.0,8,58.48259061715927,1.80944916425291e-05,506968,3010660.921875
2,58320,96.0,87,17.99980495541838,3.720890798975803e-05,5073840,2274415.943082143
4,50283,68.0,46,69.13295746077203,1.4026760446894429e-05,2313018,2628999.7780914395
3,67743,34.0,93,39.072361720030116,2.9789801498292895e-05,6300099,1996164.7493421054
3,63681,63.0,13,76.91085253058212,6.970533468361046e-06,827853,2628999.7780914395
3,59955,93.0,27,27.243755733466767,1.2538268541947986e-05,1618785,1996164.7493421054
2,93218,86.0,52,30.974618635885772,2.935174718223227e-05,4847336,1996164.7493421054
4,51390,89.0,15,70.27705779334501,3.524537191634146e-05,770850,3010660.921875
2,131013,88.0,53,29.726702693625825,3.207530867541839e-05,6943689,1996164.7493421054
3,69138,78.0,14,46.89834823107408,2.7454480520642053e-05,967932,3010660.921875
2,55513,93.0,25,27.265158611496407,6.9702721197539e-06,1387825,1996164.7493421054
3,78804,92.0,15,31.713364803817065,2.273582112246613e-05,1182060,1996164.7493421054
3,66994,79.0,14,35.39577424844016,1.760212574977191e-05,937916,1996164.7493421054
3,98357,88.0,16,35.13864290289456,2.7383217334178403e-05,1573712,1996164.7493421054
4,102100,89.0,15,43.5708374142997,2.9085669423911994e-05,1531500,2395087.953125
3,62526,96.0,14,31.764304049515403,2.7224278497773175e-05,875364,1996164.7493421054
3,64015,21.0,9,50.645594782472855,1.5292662244142664e-05,576135,2628999.7780914395
3,55442,72.0,20,57.55976065077017,2.622814585575319e-05,1108840,3669635.28125
4,114297,61.0,112,18.374040875963498,3.306512756370507e-05,12801264,1334609.24919344
1,64984,72.0,50,45.308018127539086,1.2152309741249713e-05,3249200,2274415.943082143
1,46797,86.0,58,44.35948885612326,3.539203166254876e-05,2714226,1996164.7493421054
2,67371,92.0,12,31.593103857742946,2.178101621877612e-05,808452,1996164.7493421054
3,127776,75.0,6,37.159850050087655,1.6865562219455756e-05,766656,1996164.7493421054
2,67235,89.0,17,33.97239161151186,2.1504870281786255e-05,1142995,1996164.7493421054
3,58118,97.0,25,24.21413761657318,1.512850435122148e-05,1452950,1996164.7493421054
3,44558,78.0,116,37.63638964944567,1.6857460984324858e-05,5168728,2628999.7780914395
1,71714,87.0,17,33.06687676046518,1.5282382499816563e-05,1219138,1996164.7493421054
3,67236,91.0,25,8.167966193705753,1.7535190445961502e-05,1680900,1334609.24919344
2,55653,98.0,88,24.75386771602609,5.290256361119519e-05,4897464,1996164.7493421054
5,50759,62.0,44,61.999684784964245,1.559877497662885e-05,2233396,2628999.7780914395
2,56772,46.0,64,42.96985750017614,3.466715666084815e-05,3633408,997971.7780206897
3,75174,77.0,15,36.366908771649776,2.628531380333786e-05,1127610,1996164.7493421054
3,75214,88.0,13,31.034913712872605,1.8841088824723894e-05,977782,1996164.7493421054
3,134918,91.0,11,28.32907766198728,1.8162778209113964e-05,1484098,1996164.7493421054
2,64414,67.0,25,35.63164063712858,6.971141435092247e-06,1610350,1996164.7493421054
4,56500,98.0,102,24.429975663716814,3.203666176462997e-05,5763000,2628999.7780914395
4,59158,57.0,35,84.64452821258325,1.3617842868985328e-05,2070530,2628999.7780914395
5,73399,61.0,100,51.18606520524803,6.9709763572376515e-06,7339900,2628999.7780914395
7,89550,85.0,116,43.58749022892239,1.3237653476687019e-05,10387800,2628999.7780914395
6,89355,66.0,116,46.759929494712104,7.651558966247339e-06,10365180,2628999.7780914395
