NumberofFloors,PropertyGFABuilding(s)_log,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,Longitude,NumberOfPropertyUseTypes,BuildingAge,Age_x_Size_log,Floor_density,size_x_type_mean,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility,SiteEnergyUse(kBtu)
2,10.937170132451657,K-12 School,58916.0,47.54576,-122.26853,1,55,14.944503317684127,28114.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1539478.5
6,10.968301732454014,Hotel,58006.0,47.65959,-122.31755,2,15,13.676351933556225,9667.666666666666,46808.19047619047,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3663534.5
2,10.91483388635787,K-12 School,54986.0,47.65671,-122.39047,1,26,14.172930424379352,27493.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1650279.25
2,10.91479751280144,Office,54984.0,47.60823,-122.30956,1,54,14.903781559365715,27492.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3375211.0
6,11.056761622530754,Hotel,63371.0,47.61988,-122.33211,2,8,13.13620316421059,10561.833333333334,46808.19047619047,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3706100.25
2,10.97370036668254,Retail Store,72072.0,47.62237,-122.33805,1,87,15.439608485337123,29160.0,38211.08571428571,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1049748.625
2,10.858998997563564,Other,52000.0,47.62395,-122.35077,1,54,14.847983044127838,26000.0,38299.84905660377,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2726369.0
4,10.825422326795367,Office,48546.0,47.62053,-122.35842,3,46,14.654063723284462,12570.75,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3476212.5
3,11.001349559813534,K-12 School,59955.0,47.55478,-122.27596,1,27,14.297186425817863,19985.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1633399.375
3,11.14385978624207,Hotel,70609.0,47.72551,-122.3423,1,14,13.782917115857328,23046.0,46808.19047619047,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3242458.0
2,10.924372506540205,K-12 School,59097.0,47.6706,-122.36225,1,25,14.143248331408406,27756.5,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1513570.75
3,11.274719035978974,K-12 School,78804.0,47.51482,-122.25864,1,15,13.982769237081182,26268.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2499140.0
3,11.112358342124256,K-12 School,66994.0,47.61224,-122.29087,1,14,13.751415671739515,22331.333333333332,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2371304.5
5,11.40557407995762,Other - Lodging/Residential,46483.0,47.53722,-122.284,3,7,13.351484229012934,17964.2,41158.2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1950092.5
2,10.870680502337402,College/University,52611.0,47.65147,-122.36122,1,36,14.454199440793513,26305.5,49086.545454545456,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4116871.5
3,11.043337749220482,K-12 School,62526.0,47.68725,-122.35996,1,14,13.682395078835741,20842.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1986094.875
3,11.066872709880279,Office,30000.0,47.536,-122.31768,3,9,13.264097287216499,21338.333333333332,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3242077.75
3,10.923092708249172,Financial Office,28636.0,47.70956,-122.3345,3,20,13.918824981803162,18480.666666666668,39896.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3191228.25
1,10.753574377286979,K-12 School,46797.0,47.51778,-122.37074,1,58,14.814017387833397,46797.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2075891.0
3,10.933106969717286,Other,56000.0,47.67767,-122.39631,1,43,14.694307085410848,18666.666666666668,38299.84905660377,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1851260.5
2,11.11796993724665,K-12 School,67371.0,47.54174,-122.27691,1,12,13.602876587034652,33685.5,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2128459.0
2,10.860689874916698,Self-Storage Facility,52088.0,47.54508,-122.37737,1,47,14.710837476626757,26044.0,47629.375,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1377519.5
2,11.115949224257971,K-12 School,67235.0,47.68359,-122.37308,1,17,13.949162568314186,33617.5,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2284133.75
3,10.970230705529843,K-12 School,59014.0,47.54025,-122.3885,1,25,14.189106530398044,19372.666666666668,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1407277.25
3,10.704546990290469,Office,34416.0,47.60105,-122.33518,3,116,15.458137181396834,14852.666666666666,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1677002.25
3,11.115964097353285,Non-Refrigerated Warehouse,67236.0,47.65097,-122.34227,2,25,14.334839922221486,22412.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,549181.375
2,10.926891263606484,K-12 School,55500.0,47.66568,-122.31368,1,88,15.404228078084689,27826.5,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1377627.0
5,10.83484422108265,Office,47079.0,47.71895,-122.29475,2,44,14.619033855000911,10151.8,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3147042.0
2,10.946798525419148,Worship Facility,56772.0,47.66182,-122.31113,1,64,15.10568160877882,28386.0,32669.727272727272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2439484.75
3,11.227560705473607,K-12 School,75174.0,47.67184,-122.29221,1,15,13.935610906575818,25058.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2733846.0
3,11.228092662823174,K-12 School,75214.0,47.64052,-122.3656,1,13,13.79304202028471,25071.333333333332,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2334260.0
2,11.073086279770727,K-12 School,65310.0,47.59096,-122.29985,1,25,14.291962104638928,32207.0,49016.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2295176.5
1,10.864961952985604,Non-Refrigerated Warehouse,51116.0,47.72912,-122.34677,1,56,14.890313643720752,52311.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,930611.875
1,10.868568448579715,Non-Refrigerated Warehouse,49395.0,47.65825,-122.3683,2,43,14.629768564273277,52500.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3989399.0
4,10.874266469694353,Office,38880.0,47.61304,-122.34059,2,91,15.385125976211203,13200.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2429021.0
3,10.925812573032118,Office,55593.0,47.5671,-122.36416,1,56,14.951164263767268,18531.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4224872.5
4,10.971554719376076,Office,58195.0,47.62003,-122.35706,2,31,14.405541923861223,14548.75,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2991674.75
5,11.115964097353285,Office,64752.0,47.62115,-122.3597,2,42,14.853633715636652,13447.2,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3415561.25
5,11.108889335385756,Office,66648.0,47.62224,-122.3585,2,44,14.893078969304018,13352.4,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3632613.75
5,11.108889335385756,Office,66747.0,47.62224,-122.3585,2,46,14.937530731874851,13352.4,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3493093.75
5,11.103452335464524,Office,69691.0,47.62014,-122.35768,2,45,14.910114825234844,13280.0,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3484915.5
2,11.407564949312402,Non-Refrigerated Warehouse,70000.0,47.54983,-122.32858,2,49,15.299385247423029,45000.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1429146.375
1,10.82377030567982,Retail Store,50200.0,47.55032,-122.32614,1,50,14.735793311107967,50200.0,38211.08571428571,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1047461.0
2,11.05469229132341,Non-Refrigerated Warehouse,63240.0,47.66724,-122.38553,1,75,15.37218040485972,31620.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,227566.7031
1,10.033638237001172,Non-Refrigerated Warehouse,22780.0,47.54769,-122.3251,1,50,13.945661242429319,22780.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,402051.3125
1,10.821077440141902,Distribution Center,49918.0,47.54187,-122.32714,2,49,14.71289773825253,50065.0,45433.204545454544,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1529510.25
6,10.82466631848306,Office,78672.0,47.62476,-122.34843,1,29,14.191962148469534,8374.166666666666,43853.04391891892,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2179719.75
3,11.076898051279423,Non-Refrigerated Warehouse,64660.0,47.71286,-122.34422,1,30,14.47809543294158,21553.333333333332,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,325513.0
2,10.931605843591019,Other,28442.0,47.61552,-122.31744,3,89,15.420242213323158,27958.0,38299.84905660377,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3684188.5
1,10.819778284410283,Office,20000.0,47.62405,-122.33084,3,88,15.29711509888849,50000.0,43853.04391891892,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2603931.25
1,10.851276951469654,Distribution Center,34400.0,47.53926,-122.34143,2,40,14.540156405583591,51600.0,45433.204545454544,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1124543.125
2,10.88691343139512,Non-Refrigerated Warehouse,46846.0,47.69814,-122.34295,2,68,15.106421136571226,26736.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,971155.625
1,10.82808369877337,Non-Refrigerated Warehouse,50417.0,47.52696,-122.32913,1,36,14.41160263722948,50417.0,42790.2891566265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1847401.0
1,9.344871264933788,Other,51427.0,47.55787,-122.335,1,16,12.11745998717357,11440.0,38299.84905660377,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1770027.5
